GAME_ID,GAME_DATE,season,home_team,home_efg_roll10,home_efg_roll20,home_tov_rate_roll10,home_tov_rate_roll20,home_orb_pct_roll10,home_orb_pct_roll20,home_ftr_roll10,home_ftr_roll20,home_off_rating_roll10,home_off_rating_roll20,home_def_efg_roll10,home_def_efg_roll20,home_def_tov_rate_roll10,home_def_tov_rate_roll20,home_def_ftr_roll10,home_def_ftr_roll20,home_def_rating_roll10,home_def_rating_roll20,home_rest_days,home_is_b2b,home_games_played,away_team,away_efg_roll10,away_efg_roll20,away_tov_rate_roll10,away_tov_rate_roll20,away_orb_pct_roll10,away_orb_pct_roll20,away_ftr_roll10,away_ftr_roll20,away_off_rating_roll10,away_off_rating_roll20,away_def_efg_roll10,away_def_efg_roll20,away_def_tov_rate_roll10,away_def_tov_rate_roll20,away_def_ftr_roll10,away_def_ftr_roll20,away_def_rating_roll10,away_def_rating_roll20,away_rest_days,away_is_b2b,away_games_played
21300298,2013-12-07,2013-14,POR,0.5158421100457564,0.5162498062761453,0.1261371090461606,0.13112505512162803,0.2921292947402161,0.2927007504841688,0.28567813513901263,0.2643475935583583,111.6086333135881,109.4332014887215,0.4761064370536362,0.4825050931685337,0.12374505296104363,0.12099348322156156,0.27797082484807495,0.2589321359494518,103.56305216219002,103.18187847533866,1.0,1,20,DAL,0.5030518860415016,0.5157566864766976,0.12428064915402855,0.136966734976715,0.23033394075350092,0.23837971800810273,0.26271639233667,0.2618825848889064,105.023355950824,105.81567587985057,0.5050003904213411,0.5124058830432607,0.13873307867457327,0.15325440530918216,0.3281520520363722,0.3492310551793097,104.64052853797807,103.92713094941887,3.0,0,20
21300300,2013-12-08,2013-14,DET,0.4899028172404861,0.4903589501989923,0.14421860991199742,0.14076624513642974,0.31036750866354446,0.30983593401568804,0.31231633833550343,0.30502055460367766,101.60049394028478,102.59607013291865,0.4923837985502958,0.5133419265067141,0.16358978117006007,0.1648193499699097,0.2606738148260637,0.2767614793182538,96.89192144637218,101.69269360619337,1.0,1,20,MIA,0.5385426036949035,0.5610762490690949,0.15560475973735538,0.15462972747453302,0.1847235352384094,0.18064822959518279,0.3020490689891748,0.3327055120204778,104.4591127576667,107.99665495896663,0.47962096083235817,0.4975448513657379,0.1811260534293781,0.17379790829862377,0.35138702831198115,0.3265518265369385,96.43591334276289,99.49146087589118,1.0,1,20
21300304,2013-12-09,2013-14,CHA,0.44712180806156976,0.4411625206483739,0.1343611882145797,0.13181762932850533,0.2566038711101618,0.2577711149654697,0.32890992044367706,0.3519581049311162,95.05662104000069,94.88838015607719,0.46330198978263376,0.47682297485406744,0.14091190064408102,0.14360631069276525,0.30276950381140094,0.2895351706846921,94.43709298759981,97.42984836352267,3.0,0,20,GSW,0.5010615884943772,0.5244131771798385,0.1460234586556119,0.15864039497061944,0.24467284142187867,0.24159620309378668,0.3011110431710926,0.28039961090760646,102.13442637518902,103.22981884841067,0.4876516826081695,0.47634767159181857,0.1261647543446742,0.13802405882871518,0.28680503696445936,0.304980550613182,104.582346890124,100.38136413885661,2.0,0,21
21300308,2013-12-09,2013-14,UTA,0.4910604642293272,0.4688945512150241,0.14315046504375284,0.15187782147218415,0.26148015287564724,0.26994858627861723,0.2618244300571837,0.2775922223231376,101.27804753976996,96.89124172134574,0.5301247533716393,0.5267631971929506,0.1274136247454281,0.13795112056927666,0.3208804437157984,0.3206193363893347,111.48444340301974,109.3788610669249,2.0,0,22,POR,0.506631583729967,0.5184103001033058,0.12526249097560252,0.1315384894481692,0.3033715307650608,0.2994768836941596,0.28563276308819596,0.2633258821918193,110.74935016803245,110.11025700385669,0.4953424073038052,0.48413229161750204,0.12878360245561055,0.11969078769649162,0.24943803242075924,0.25441060153593564,104.2229631657483,103.27978914008159,2.0,0,21
21300305,2013-12-09,2013-14,PHI,0.4808628800208353,0.48531933851303544,0.15139935497075083,0.15167934559381802,0.27997283677269463,0.26179177043528734,0.2599246274246647,0.259840664598826,96.82625741266955,97.44090420521765,0.5107200832635023,0.5165855263312292,0.14303821122861918,0.14071093810546348,0.3286606048243462,0.2786482894448773,104.7223499558281,105.31369844646545,2.0,0,21,LAC,0.5042855972844373,0.5165809119717929,0.12731328621411026,0.1337406697162566,0.2017797421635298,0.2515997313537333,0.32616116274850987,0.3455286649318683,102.24110280778021,106.25729993723166,0.45788022067680656,0.488608270327175,0.1369533184351399,0.1391514123893665,0.2813370665163852,0.32907000213641413,96.50015105530076,101.55708154251084,2.0,0,21
21300314,2013-12-10,2013-14,BKN,0.4800013986301136,0.47305016883234535,0.14287405547210003,0.13754518307935476,0.2621332429057993,0.254138894009171,0.3265671144541676,0.3356676307792973,100.40051471830904,99.97488285092211,0.5283191678404859,0.5175519193090266,0.12217508405265529,0.13197994605856186,0.2848111780586423,0.30878745298808347,110.97535697787869,108.10002400141711,3.0,0,20,BOS,0.5237261125681304,0.49812959208802293,0.15237813431186356,0.1523803602388865,0.2465739104829531,0.24159705774530882,0.2572286149873711,0.2352223276456252,104.02760039404059,99.72462489083152,0.46838732479028466,0.48446611537362533,0.1328649276662822,0.14655563724886367,0.2836607430640485,0.3020432484193312,99.00210773654173,100.18750344845918,2.0,0,22
21300317,2013-12-10,2013-14,LAL,0.5299706933588102,0.50345563716549,0.1271192748648211,0.13555270817493364,0.20404599878927238,0.22507614638688783,0.2145626711456527,0.23491948967843537,106.1700982015412,101.66415457292972,0.48407604012298966,0.4896953771010396,0.12261354450250621,0.12187688679844308,0.26477661996456836,0.2840622107835741,103.02123735640916,103.05410095160593,2.0,0,20,PHX,0.5294499879105639,0.5199419472116784,0.13688323115472315,0.14846405722188866,0.2823143137342316,0.2565808175390728,0.29621424740286195,0.28167815178000777,109.02032463138319,104.87686670700096,0.4969716804993246,0.48280259330753755,0.12723176180441154,0.13754922860593816,0.3028913546572665,0.2968147970674052,107.51803636288875,102.61669652378009,4.0,0,20
21300315,2013-12-10,2013-14,DET,0.4926952445562399,0.4857096289320239,0.14463668184609757,0.14023481422072986,0.3146730642191,0.31139749557724955,0.32440558782840406,0.29680788492041976,102.41102688390697,101.83193476141429,0.5020571162341769,0.5199391487289363,0.15965061798530067,0.16567918418894506,0.25603766459132193,0.27083199213876663,99.25355662050734,102.28337290211829,2.0,0,21,MIN,0.4466469013182481,0.46813832447767856,0.12235739494391495,0.12747866333919505,0.30068672887082276,0.28122654273061254,0.305180840023917,0.3055801114538648,100.81373546747157,102.6540057303029,0.5397776409472331,0.5181285680871289,0.16211326350947194,0.15792660135343073,0.2005439825928123,0.20490614516977726,103.46446421380911,101.29126994794575,3.0,0,20
21300311,2013-12-10,2013-14,IND,0.5001349970779484,0.4974233962621796,0.1428115779851436,0.14517674523371174,0.2557619414407498,0.2505344197771402,0.27386347609245637,0.2843599476127106,103.51430837987816,102.49234726391524,0.4594824479937998,0.4473866361849371,0.14978283055250396,0.14644780827188555,0.2640707312835696,0.24929481725719257,95.32767429198067,93.7562591804271,2.0,0,21,MIA,0.5449469246825578,0.5631595824024282,0.15772329114448688,0.15373637950249705,0.1725707574606316,0.18131787245232564,0.3077589455323847,0.32714995646492223,105.35058428672214,108.53253996758619,0.4740645220406253,0.49758737439904765,0.17415594365473072,0.17331206417223705,0.35699911098288734,0.32563758132077975,96.65515730790788,99.707187067739,2.0,0,21
21300322,2013-12-11,2013-14,MIN,0.45507618792650845,0.4724912656541491,0.12276931272463845,0.12748440767552566,0.3026475131845483,0.2849302464343162,0.3206001141165327,0.3079918761597472,102.56709883288397,103.62069283046499,0.5491430093977795,0.5180321825449603,0.16130986658924795,0.15986681068934508,0.1988908584684077,0.2055446993866447,104.23580087292649,100.89922901402225,1.0,1,21,PHI,0.4769487386066939,0.47694167893856737,0.15520613203661102,0.15058208645972354,0.2763905659773091,0.26350473339825037,0.2583545791154859,0.2627199430447094,95.78023835910044,96.54787298812832,0.5070928162216011,0.5152492523301915,0.13526352639222985,0.13879837908707196,0.3306931251495494,0.2872886630826562,104.68022760187777,105.24007375568915,2.0,0,22
