season_x,date,regular,playoffs,away,home,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,moneyline_away,moneyline_home,h2_spread,h2_total,id_spread,id_total,elo_home_pre,elo_away_pre,p_elo_home,elo_home_post,elo_away_post,p_true_home,p_true_away,GAME_ID,GAME_DATE,season_y,home_team,home_efg_roll10,home_efg_roll20,home_tov_rate_roll10,home_tov_rate_roll20,home_orb_pct_roll10,home_orb_pct_roll20,home_ftr_roll10,home_ftr_roll20,home_off_rating_roll10,home_off_rating_roll20,home_def_efg_roll10,home_def_efg_roll20,home_def_tov_rate_roll10,home_def_tov_rate_roll20,home_def_ftr_roll10,home_def_ftr_roll20,home_def_rating_roll10,home_def_rating_roll20,home_rest_days,home_is_b2b,home_games_played,away_team,away_efg_roll10,away_efg_roll20,away_tov_rate_roll10,away_tov_rate_roll20,away_orb_pct_roll10,away_orb_pct_roll20,away_ftr_roll10,away_ftr_roll20,away_off_rating_roll10,away_off_rating_roll20,away_def_efg_roll10,away_def_efg_roll20,away_def_tov_rate_roll10,away_def_tov_rate_roll20,away_def_ftr_roll10,away_def_ftr_roll20,away_def_rating_roll10,away_def_rating_roll20,away_rest_days,away_is_b2b,away_games_played
2014,2013-12-07,True,False,dal,por,108,106,28,27,24,29,0,30,23,23,30,0,home,5.5,208.5,190.0,-230.0,5.0,104.0,0.0,1,1573.1925038814793,1541.389530088182,0.6810755299645579,1566.4389481083776,1548.1430858612837,0.6797282606479489,0.32027173935205133,21300298,2013-12-07,2013-14,POR,0.5158421100457564,0.5162498062761453,0.1261371090461606,0.131125055121628,0.2921292947402161,0.2927007504841688,0.2856781351390126,0.2643475935583583,111.6086333135881,109.4332014887215,0.4761064370536362,0.4825050931685337,0.1237450529610436,0.1209934832215615,0.2779708248480749,0.2589321359494518,103.56305216219002,103.18187847533866,1.0,1,20,DAL,0.5030518860415016,0.5157566864766976,0.1242806491540285,0.136966734976715,0.2303339407535009,0.2383797180081027,0.26271639233667,0.2618825848889064,105.023355950824,105.81567587985056,0.5050003904213411,0.5124058830432607,0.1387330786745732,0.1532544053091821,0.3281520520363722,0.3492310551793097,104.64052853797808,103.92713094941888,3.0,0,20
2014,2013-12-08,True,False,mia,det,110,95,29,30,32,19,0,21,32,17,25,0,away,3.5,197.0,-160.0,140.0,0.0,98.5,1.0,1,1476.581113730999,1679.0445362924468,0.3566745785685463,1468.3157170444003,1687.3099329790457,0.39912255177604633,0.6008774482239536,21300300,2013-12-08,2013-14,DET,0.4899028172404861,0.4903589501989923,0.1442186099119974,0.1407662451364297,0.3103675086635444,0.309835934015688,0.3123163383355034,0.3050205546036776,101.60049394028478,102.59607013291864,0.4923837985502958,0.5133419265067141,0.16358978117006,0.1648193499699097,0.2606738148260637,0.2767614793182538,96.89192144637218,101.69269360619336,1.0,1,20,MIA,0.5385426036949035,0.5610762490690949,0.1556047597373553,0.154629727474533,0.1847235352384094,0.1806482295951827,0.3020490689891748,0.3327055120204778,104.4591127576667,107.99665495896664,0.4796209608323581,0.4975448513657379,0.1811260534293781,0.1737979082986237,0.3513870283119811,0.3265518265369385,96.43591334276287,99.49146087589118,1.0,1,20
2014,2013-12-09,True,False,lac,phi,94,83,23,21,32,18,0,17,19,24,23,0,away,9.5,208.5,-600.0,425.0,3.0,103.0,1.0,0,1368.094682312834,1607.004850211583,0.3101044132955761,1362.3611716427777,1612.7383608816394,0.1577482590702423,0.8422517409297516,21300305,2013-12-09,2013-14,PHI,0.4808628800208353,0.4853193385130354,0.1513993549707508,0.151679345593818,0.2799728367726946,0.2617917704352873,0.2599246274246647,0.259840664598826,96.82625741266956,97.44090420521763,0.5107200832635023,0.5165855263312292,0.1430382112286191,0.1407109381054634,0.3286606048243462,0.2786482894448773,104.7223499558281,105.31369844646544,2.0,0,21,LAC,0.5042855972844373,0.5165809119717929,0.1273132862141102,0.1337406697162566,0.2017797421635298,0.2515997313537333,0.3261611627485098,0.3455286649318683,102.2411028077802,106.25729993723166,0.4578802206768065,0.488608270327175,0.1369533184351399,0.1391514123893665,0.2813370665163852,0.3290700021364141,96.50015105530076,101.55708154251084,2.0,0,21
2014,2013-12-09,True,False,gs,cha,111,115,21,20,36,34,0,27,26,30,32,0,away,6.0,195.0,-230.0,190.0,6.5,97.5,0.0,1,1392.2436179239587,1584.7726577756007,0.3699013678029786,1401.6646235764406,1575.3516521231188,0.32027173935205133,0.6797282606479489,21300304,2013-12-09,2013-14,CHA,0.4471218080615697,0.4411625206483739,0.1343611882145797,0.1318176293285053,0.2566038711101618,0.2577711149654697,0.328909920443677,0.3519581049311162,95.05662104000068,94.8883801560772,0.4633019897826337,0.4768229748540674,0.140911900644081,0.1436063106927652,0.3027695038114009,0.2895351706846921,94.4370929875998,97.42984836352268,3.0,0,20,GSW,0.5010615884943772,0.5244131771798385,0.1460234586556119,0.1586403949706194,0.2446728414218786,0.2415962030937866,0.3011110431710926,0.2803996109076064,102.13442637518902,103.22981884841067,0.4876516826081695,0.4763476715918185,0.1261647543446742,0.1380240588287151,0.2868050369644593,0.304980550613182,104.582346890124,100.3813641388566,2.0,0,21
2014,2013-12-09,True,False,por,utah,105,94,22,29,26,28,0,22,23,19,30,0,away,7.0,203.5,-305.0,245.0,2.5,101.0,1.0,0,1408.0092150287524,1566.4389481083776,0.4166967221761687,1399.8646841679813,1574.5834789691487,0.26330167086260936,0.7366983291373955,21300308,2013-12-09,2013-14,UTA,0.4910604642293272,0.4688945512150241,0.1431504650437528,0.1518778214721841,0.2614801528756472,0.2699485862786172,0.2618244300571837,0.2775922223231376,101.27804753976996,96.89124172134574,0.5301247533716393,0.5267631971929506,0.1274136247454281,0.1379511205692766,0.3208804437157984,0.3206193363893347,111.48444340301974,109.3788610669249,2.0,0,22,POR,0.506631583729967,0.5184103001033058,0.1252624909756025,0.1315384894481692,0.3033715307650608,0.2994768836941596,0.2856327630881959,0.2633258821918193,110.74935016803244,110.11025700385667,0.4953424073038052,0.484132291617502,0.1287836024556105,0.1196907876964916,0.2494380324207592,0.2544106015359356,104.2229631657483,103.2797891400816,2.0,0,21
2014,2013-12-10,True,False,phx,lal,114,108,26,30,23,35,0,21,30,23,34,0,home,3.0,207.5,130.0,-150.0,3.0,104.0,0.0,1,1484.8385844710103,1466.2946597938376,0.6642727334341739,1474.410602938043,1476.722641326805,0.5839826350363595,0.4160173649636405,21300317,2013-12-10,2013-14,LAL,0.5299706933588102,0.50345563716549,0.1271192748648211,0.1355527081749336,0.2040459987892723,0.2250761463868878,0.2145626711456527,0.2349194896784353,106.1700982015412,101.66415457292972,0.4840760401229896,0.4896953771010396,0.1226135445025062,0.121876886798443,0.2647766199645683,0.2840622107835741,103.02123735640916,103.05410095160592,2.0,0,20,PHX,0.5294499879105639,0.5199419472116784,0.1368832311547231,0.1484640572218886,0.2823143137342316,0.2565808175390728,0.2962142474028619,0.2816781517800077,109.0203246313832,104.87686670700096,0.4969716804993246,0.4828025933075375,0.1272317618044115,0.1375492286059381,0.3028913546572665,0.2968147970674052,107.51803636288876,102.61669652378008,4.0,0,20
2014,2013-12-10,True,False,bos,bkn,96,104,20,27,25,24,0,31,25,29,19,0,home,2.0,193.0,110.0,-130.0,2.0,95.0,1.0,1,1425.978475634468,1498.487302794037,0.5394806173977744,1434.8558216337651,1489.60995679474,0.5454027354444257,0.45459726455557425,21300314,2013-12-10,2013-14,BKN,0.4800013986301136,0.4730501688323453,0.1428740554721,0.1375451830793547,0.2621332429057993,0.254138894009171,0.3265671144541676,0.3356676307792973,100.40051471830904,99.97488285092211,0.5283191678404859,0.5175519193090266,0.1221750840526552,0.1319799460585618,0.2848111780586423,0.3087874529880834,110.97535697787868,108.10002400141713,3.0,0,20,BOS,0.5237261125681304,0.4981295920880229,0.1523781343118635,0.1523803602388865,0.2465739104829531,0.2415970577453088,0.2572286149873711,0.2352223276456252,104.0276003940406,99.72462489083152,0.4683873247902846,0.4844661153736253,0.1328649276662822,0.1465556372488636,0.2836607430640485,0.3020432484193312,99.00210773654172,100.18750344845918,2.0,0,22
2014,2013-12-10,True,False,mia,ind,84,90,30,17,17,20,0,19,21,28,22,0,home,3.5,191.5,145.0,-165.0,3.5,95.5,1.0,0,1662.6278450523323,1687.3099329790457,0.606724576711104,1668.832544906337,1681.105233125041,0.608812566039061,0.391187433960939,21300311,2013-12-10,2013-14,IND,0.5001349970779484,0.4974233962621796,0.1428115779851436,0.1451767452337117,0.2557619414407498,0.2505344197771402,0.2738634760924563,0.2843599476127106,103.51430837987816,102.49234726391524,0.4594824479937998,0.4473866361849371,0.1497828305525039,0.1464478082718855,0.2640707312835696,0.2492948172571925,95.32767429198068,93.7562591804271,2.0,0,21,MIA,0.5449469246825578,0.5631595824024282,0.1577232911444868,0.153736379502497,0.1725707574606316,0.1813178724523256,0.3077589455323847,0.3271499564649222,105.35058428672214,108.5325399675862,0.4740645220406253,0.4975873743990476,0.1741559436547307,0.173312064172237,0.3569991109828873,0.3256375813207797,96.65515730790788,99.707187067739,2.0,0,21
2014,2013-12-10,True,False,min,det,121,94,33,31,32,25,0,32,19,26,17,0,away,1.0,206.0,-120.0,100.0,3.0,101.0,1.0,1,1468.3157170444003,1506.6428889316924,0.5878337389002501,1445.2054964245629,1529.75310955153,0.47677095384811874,0.5232290461518811,21300315,2013-12-10,2013-14,DET,0.4926952445562399,0.4857096289320239,0.1446366818460975,0.1402348142207298,0.3146730642191,0.3113974955772495,0.324405587828404,0.2968078849204197,102.41102688390696,101.83193476141427,0.5020571162341769,0.5199391487289363,0.1596506179853006,0.165679184188945,0.2560376645913219,0.2708319921387666,99.25355662050734,102.28337290211827,2.0,0,21,MIN,0.4466469013182481,0.4681383244776785,0.1223573949439149,0.127478663339195,0.3006867288708227,0.2812265427306125,0.305180840023917,0.3055801114538648,100.81373546747156,102.6540057303029,0.5397776409472331,0.5181285680871289,0.1621132635094719,0.1579266013534307,0.2005439825928123,0.2049061451697772,103.46446421380912,101.29126994794576,3.0,0,20
2014,2013-12-11,True,False,okc,mem,116,100,25,32,32,27,0,22,20,31,27,0,away,6.5,191.0,-270.0,220.0,1.0,95.5,1.0,1,1524.8961354928026,1683.8701968225084,0.415935314288348,1514.520745668084,1694.245586647227,0.28694272047721475,0.7130572795227864,21300320,2013-12-11,2013-14,MEM,0.4619465795919006,0.4800664891245206,0.1184225854671304,0.1362266391230202,0.2750496406536583,0.2559804908722812,0.2605796097924321,0.2570919882888192,100.38259131963623,99.737626030169,0.5006151139835726,0.5024746977953514,0.1388238795126706,0.1393143040448174,0.2388893160414282,0.2727811656805784,103.43270729658646,103.4017583984851,2.0,0,20,OKC,0.52156253520685,0.5015854404030893,0.1462580430160509,0.1476207750373249,0.2370071307376998,0.2645652152796207,0.2901048027557934,0.3259399982570983,105.69085691191977,105.00605985783892,0.4439409460391969,0.4678170789241463,0.1188629778803768,0.1333905566451292,0.2651785906186883,0.2864371897970995,95.64099276116964,98.112222397664,1.0,1,20
